"miRNA","MutN3","MutN4","MutN5","MutP1","MutP2","MutP3","MutP4","WtN1","WtN2","WtN3","WtN4","WtN5","WtP1","WtP2","WtP3","WtP4","WtP5"
"mmu-let-7a-1-3p__mmu-let-7c-2-3p","50","67","29","94","50","52","229","58","0","40","95","77","58","24","75","58","57"
"mmu-let-7a-2-3p","0","7","0","2","0","0","7","7","0","0","4","1","4","3","0","0","4"
"mmu-let-7a-5p","1352","3178","2030","4219","1694","2723","2185","659","508","146","1153","4293","1638","1314","1846","1641","787"
"mmu-let-7b-3p","14","30","22","37","26","18","45","31","0","0","20","39","28","18","25","29","24"
"mmu-let-7b-5p","1145","1636","1016","1410","1176","925","1818","306","0","279","276","2064","1162","778","1143","288","514"
"mmu-let-7c-1-3p","5","7","4","4","2","0","8","7","0","13","6","9","4","6","3","7","4"
"mmu-let-7c-5p","3876","14292","6320","10458","6990","6943","8173","2491","888","988","3252","11331","6676","5567","6859","3936","3037"
"mmu-let-7d-3p","141","114","85","666","262","399","833","204","127","66","262","265","288","195","338","393","287"
"mmu-let-7d-5p","975","1700","964","2449","1179","1557","1711","428","254","139","844","2400","1319","932","1590","1497","754"
"mmu-let-7e-3p","17","29","24","21","14","12","51","10","0","0","4","29","30","24","28","49","22"
"mmu-let-7e-5p","603","656","335","1002","567","728","1400","187","0","66","177","760","720","456","794","585","388"
"mmu-let-7f-1-3p","17","20","22","15","9","17","40","31","0","0","22","14","10","3","22","17","16"
"mmu-let-7f-2-3p","0","3","1","5","0","0","2","0","0","7","0","3","0","0","3","0","0"
"mmu-let-7f-5p","2726","5526","3418","7723","3390","3836","4185","1828","888","405","2839","6754","2935","2252","3164","2716","1634"
"mmu-let-7g-3p","63","42","37","25","3","3","22","24","0","20","30","69","26","9","39","22","16"
"mmu-let-7g-5p","4133","9083","9784","8453","4649","5314","5723","2328","1015","1174","3460","10912","3941","3350","5046","4998","2626"
"mmu-let-7i-3p","374","270","171","155","50","111","265","214","0","166","224","535","77","68","108","100","75"
"mmu-let-7i-5p","4309","7440","6045","7107","4571","4172","5722","2307","635","1658","3772","8332","5004","4359","5328","5019","2472"
"mmu-let-7j","2","3","3","5","2","0","2","0","0","0","2","6","2","3","0","2","0"
"mmu-let-7k","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"mmu-miR-100-3p","22","34","29","45","16","14","54","14","0","27","18","32","12","3","20","10","18"
"mmu-miR-100-5p","101","208","150","152","45","78","172","99","0","53","117","218","48","38","59","63","41"
"mmu-miR-101a-3p","648","580","427","527","260","267","641","836","127","802","800","1137","627","441","646","552","545"
"mmu-miR-101a-5p","36","53","46","34","23","14","42","14","0","0","14","37","8","15","14","10","10"
"mmu-miR-101b-3p","954","1140","949","1017","525","480","1960","1233","0","1008","1048","1653","730","512","1123","731","825"
"mmu-miR-101b-5p","0","0","3","0","2","2","2","3","0","0","0","1","0","0","0","0","0"
"mmu-miR-101c","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"mmu-miR-103-1-5p","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"mmu-miR-103-2-5p","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"mmu-miR-103-3p","3617","9595","11638","5258","3463","4059","8948","2953","1396","1419","3144","7567","4306","3569","6103","5365","3846"
"mmu-miR-105","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"mmu-miR-106a-3p","2","3","0","0","0","0","0","0","0","0","0","0","0","3","2","0","0"
"mmu-miR-106a-5p","3","4","1","5","3","2","5","0","0","0","2","4","0","0","2","0","4"
"mmu-miR-106b-3p","19","28","16","14","16","27","31","14","0","7","10","27","16","12","14","19","12"
"mmu-miR-106b-5p","2191","2499","1079","465","281","312","577","914","127","882","937","2397","278","266","225","225","234"
"mmu-miR-107-3p","117","218","329","169","59","131","151","82","0","13","105","204","95","92","156","154","73"
"mmu-miR-107-5p","10","16","6","32","5","21","31","7","0","7","24","13","12","6","12","24","4"
"mmu-miR-10a-3p","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
