"sample_id","SampleID","condition"
"MutN3","MutN3","Solid Tissue Normal"
"MutN4","MutN4","Solid Tissue Normal"
"MutN5","MutN5","Solid Tissue Normal"
"MutP1","MutP1","Primary Tumor"
"MutP2","MutP2","Primary Tumor"
"MutP3","MutP3","Primary Tumor"
"MutP4","MutP4","Primary Tumor"
"WtN1","WtN1","Solid Tissue Normal"
"WtN2","WtN2","Solid Tissue Normal"
"WtN3","WtN3","Solid Tissue Normal"
"WtN4","WtN4","Solid Tissue Normal"
"WtN5","WtN5","Solid Tissue Normal"
"WtP1","WtP1","Primary Tumor"
"WtP2","WtP2","Primary Tumor"
"WtP3","WtP3","Primary Tumor"
"WtP4","WtP4","Primary Tumor"
"WtP5","WtP5","Primary Tumor"


