# Human (your origina


mirna,target
hsa-mir-21,PTEN
hsa-mir-21,PDCD4
hsa-mir-21,TIMP3
hsa-mir-21,RECK
hsa-mir-21,SPRY2
hsa-mir-21,BTG2
hsa-mir-155,TP53INP1
hsa-mir-155,FOXO3
hsa-mir-155,SOCS1
hsa-mir-155,SHIP1
hsa-mir-10b,HOXD10
hsa-mir-10b,TBX5
hsa-mir-10b,NCOR2
hsa-mir-34a,BCL2
hsa-mir-34a,CDK6
hsa-mir-34a,MYC
hsa-mir-17,E2F1
hsa-mir-17,TGFBR2
hsa-mir-20a,PTEN
hsa-mir-20a,TGFBR2
hsa-mir-16,BCL2
hsa-mir-16,CCND1
hsa-mir-16,CDK6
hsa-mir-125b,ERBB2
hsa-mir-125b,STAT3
hsa-mir-125b,BCL2
hsa-mir-145,MYC
hsa-mir-145,FSCN1
hsa-mir-145,SOX2
hsa-mir-200c,ZEB1
hsa-mir-200c,ZEB2
hsa-mir-200c,BMI1
hsa-mir-29b,DNMT3A
hsa-mir-29b,DNMT3B
hsa-mir-29b,TCL1A
hsa-mir-223,FBXW7
hsa-mir-223,MEF2C
hsa-mir-223,E2F1
hsa-mir-30a,BECLIN1
hsa-mir-30a,ATG5
hsa-mir-30a,SMAD1
hsa-mir-222,CDKN1B
hsa-mir-222,PTEN
hsa-mir-222,BCL2L11
hsa-mir-143,KRAS
hsa-mir-143,DNMT3A
hsa-mir-143,ERK5

# ---- Mouse (ortholog symbols) ----
mmu-mir-21,Pten
mmu-mir-21,Pdcd4
mmu-mir-21,Timp3
mmu-mir-21,Reck
mmu-mir-21,Spry2
mmu-mir-21,Btg2
mmu-mir-155,Trp53inp1
mmu-mir-155,Foxo3
mmu-mir-155,Socs1
mmu-mir-155,Inpp5d
mmu-mir-10b,Hoxd10
mmu-mir-10b,Tbx5
mmu-mir-10b,Ncor2
mmu-mir-34a,Bcl2
mmu-mir-34a,Cdk6
mmu-mir-34a,Myc
mmu-mir-17,E2f1
mmu-mir-17,Tgfbr2
mmu-mir-20a,Pten
mmu-mir-20a,Tgfbr2
mmu-mir-16,Bcl2
mmu-mir-16,Ccnd1
mmu-mir-16,Cdk6
mmu-mir-125b,Erbb2
mmu-mir-125b,Stat3
mmu-mir-125b,Bcl2
mmu-mir-145,Myc
mmu-mir-145,Fscn1
mmu-mir-145,Sox2
mmu-mir-200c,Zeb1
mmu-mir-200c,Zeb2
mmu-mir-200c,Bmi1
mmu-mir-29b,Dnmt3a
mmu-mir-29b,Dnmt3b
mmu-mir-29b,Tcl1a
mmu-mir-223,Fbxw7
mmu-mir-223,Mef2c
mmu-mir-223,E2f1
mmu-mir-30a,Becn1
mmu-mir-30a,Atg5
mmu-mir-30a,Smad1
mmu-mir-222,Cdkn1b
mmu-mir-222,Pten
mmu-mir-222,Bcl2l11
mmu-mir-143,Kras
mmu-mir-143,Dnmt3a
mmu-mir-143,Mapk7

# ---- Zebrafish (ortholog symbols; a/b paralogs where common) ----
dre-mir-21,ptena
dre-mir-21,ptenb
dre-mir-21,pdcd4a
dre-mir-21,pdcd4b
dre-mir-21,timp3a
dre-mir-21,reck
dre-mir-21,spry2a
dre-mir-21,btg2
dre-mir-155,tp53inp1
dre-mir-155,foxo3a
dre-mir-155,socs1a
dre-mir-10b,hoxd10a
dre-mir-10b,tbx5a
dre-mir-10b,ncor2
dre-mir-34a,bcl2a
dre-mir-34a,cdk6
dre-mir-34a,myca
dre-mir-17,e2f1
dre-mir-17,tgfbr2a
dre-mir-20a,ptena
dre-mir-16,bcl2a
dre-mir-16,ccnd1
dre-mir-125b,erbb2
dre-mir-125b,stat3
dre-mir-145,myca
dre-mir-145,fscn1
dre-mir-145,sox2
dre-mir-200c,zeb1a
dre-mir-200c,zeb2a
dre-mir-200c,bmi1a
dre-mir-29b,dnmt3aa
dre-mir-29b,dnmt3ab
dre-mir-29b,tcl1a
dre-mir-223,fbxw7
dre-mir-223,mef2ca
dre-mir-30a,becn1
dre-mir-30a,atg5
dre-mir-30a,smad1a
dre-mir-222,cdkn1ba
dre-mir-222,ptena
dre-mir-222,bcl2l11

# ---- Drosophila (use fly miRNAs & targets for testing) ----
dme-bantam,hid
dme-bantam,mei-P26
dme-bantam,socs36e
dme-miR-8,Atro
dme-miR-8,ush
dme-miR-8,wg
dme-miR-7,aop
dme-miR-7,klu
dme-miR-1,Mef2



