"file_id","sample_type","condition"
"c58f9425-5789-4c8c-8bda-5e75ba382783","Primary Tumor","Primary Tumor"
"8c2ea0f3-474f-47f4-9900-d708e14e244c","Primary Tumor","Primary Tumor"
"a6996338-7dab-4816-898a-a20430141131","Primary Tumor","Primary Tumor"
"f91fc5b4-3e79-4028-81d5-56c947de95ee","Primary Tumor","Primary Tumor"
"bf74aec5-b781-4cef-8b4a-7fbe0a8958d9","Primary Tumor","Primary Tumor"
"9921ecf7-18c2-49ea-9243-293de7bd9e59","Primary Tumor","Primary Tumor"
"d2c48770-5184-48fa-84af-8db038d4b8d8","Primary Tumor","Primary Tumor"
"dbc969c2-024a-4b0a-bb3d-1bd35e000e36","Primary Tumor","Primary Tumor"
"7cdd6719-c7c9-4a29-8075-dbca0bce6aff","Primary Tumor","Primary Tumor"
"32c24548-2714-4a90-bfb1-002f1c46c0c5","Primary Tumor","Primary Tumor"
"59dc9929-f28e-4f94-b1cf-789f7007107f","Primary Tumor","Primary Tumor"
"c3460a50-6e60-4d5e-8f54-3181991b94e4","Solid Tissue Normal","Solid Tissue Normal"
"cbe969fc-2e73-4ab6-94d4-c4c95d4e8ea5","Primary Tumor","Primary Tumor"
"e62de0de-c8eb-46b0-9d1e-d0e1d688d2ac","Primary Tumor","Primary Tumor"
"a8c56ead-63aa-453e-871b-4d1688c1e715","Primary Tumor","Primary Tumor"
"bb7f69e5-2fff-4178-bc7b-93a41fbe6123","Primary Tumor","Primary Tumor"
"cb611345-3a56-4f49-b364-597d672152d7","Primary Tumor","Primary Tumor"
"16211ee3-2f4b-40e1-93b7-4f547b6c5778","Primary Tumor","Primary Tumor"
"3f460a1a-f1dd-4c11-95b1-f5757a8e7cc4","Primary Tumor","Primary Tumor"
"c3ba1574-1df3-4ef6-9dbf-3176ee75556f","Primary Tumor","Primary Tumor"
"af68c263-395e-49d7-9595-024857785b06","Primary Tumor","Primary Tumor"
"602a190c-b633-4af8-ab82-96c9677f900b","Primary Tumor","Primary Tumor"
"0db85fe0-94d6-4b8d-bff4-d69aea8a0806","Primary Tumor","Primary Tumor"
"0c763950-a82a-42f3-9d68-67be5e5380a8","Primary Tumor","Primary Tumor"
"382047a4-54a9-412e-bfaf-aac8baf48726","Primary Tumor","Primary Tumor"
"1d5e0b6b-ed64-4ccc-9736-0469f2002040","Primary Tumor","Primary Tumor"
"2bb3034f-d37a-4eb4-b633-a3952ab947dd","Solid Tissue Normal","Solid Tissue Normal"
"a7f8eb90-be36-499a-924a-8cd1aaa5fb20","Primary Tumor","Primary Tumor"
"2db0a3fd-2399-4bfb-b676-2b19c197f391","Solid Tissue Normal","Solid Tissue Normal"
"ed809f5e-f379-4f65-8663-83f586c55a98","Primary Tumor","Primary Tumor"
"f316e253-bb84-4c26-a1ef-1df6c5b679b1","Solid Tissue Normal","Solid Tissue Normal"
"597789b8-5b5e-47a3-a937-f7bb9979a554","Primary Tumor","Primary Tumor"
"676ec2aa-cf5c-41f1-9b1a-1e797477a2f1","Primary Tumor","Primary Tumor"
"3f09ffc0-db54-4f87-b8e4-92c55f2045ea","Primary Tumor","Primary Tumor"
"522b6e1d-76dc-4f22-8d02-73b73af86309","Primary Tumor","Primary Tumor"
"97ff9f47-cb8a-4348-a13e-8f87fe3330b0","Primary Tumor","Primary Tumor"
"a68715a2-cd9b-4e96-8c20-5ebe9469d8d8","Primary Tumor","Primary Tumor"
"56b46dcf-c809-4b4d-8e69-9b03d39a4f7a","Primary Tumor","Primary Tumor"
"3a5e7502-cf1f-459d-91af-34e92f5f60d0","Primary Tumor","Primary Tumor"
"f541d19f-8390-40f1-8446-2a3430cae304","Primary Tumor","Primary Tumor"
"84aad260-dee1-46bb-9bb2-9f75f6dbf472","Solid Tissue Normal","Solid Tissue Normal"
"3fdcb9b7-74db-462d-8903-c054eb8b9961","Primary Tumor","Primary Tumor"
"52b38845-c5ce-49c0-b84f-5f6b9ffdd310","Primary Tumor","Primary Tumor"
"0e14a024-d7be-48ca-9aa4-8ce915a584e9","Primary Tumor","Primary Tumor"
"5c50f5de-8495-43d9-a6af-1a0cdec79f9e","Primary Tumor","Primary Tumor"
"1cae5825-2dbe-4eda-a71f-40ea7a554420","Solid Tissue Normal","Solid Tissue Normal"
"2c658173-1941-45fe-baf5-ab67dfbcdfff","Solid Tissue Normal","Solid Tissue Normal"
"37409434-dc17-4345-96d8-5cd388d90166","Primary Tumor","Primary Tumor"
